source_file,setting_type,status,parsed_run_rows,parsed_aggregate_rows,file_size_bytes,error
result/final-run/EMBER/ablations/real-buffer -only/ahr_malcl_v15_1_ablation_critic5_real_buffer_only_results.json,ablation,ok,5,1,203392,
result/final-run/EMBER/ablations/wgan-projection-generated-only/ahr_malcl_v15_1_ablation_critic5_wgan_projection_generated_only_results.json,ablation,ok,5,1,196803,
result/final-run/EMBER/best-performance setting/K=100/ahr_malcl_hr_hybrid_random_buffer_ember_k100_results.json,final_best_performance,ok,5,1,210484,
result/final-run/EMBER/best-performance setting/K=100/seed=42/full-result.json,final_best_performance,ok,1,0,34360,
result/final-run/EMBER/best-performance setting/K=100/seed=43/full-result.json,final_best_performance,ok,1,0,34285,
result/final-run/EMBER/best-performance setting/K=100/seed=44/full-result.json,final_best_performance,ok,1,0,34234,
result/final-run/EMBER/best-performance setting/K=100/seed=45/full-result.json,final_best_performance,ok,1,0,34278,
result/final-run/EMBER/best-performance setting/K=100/seed=46/full-result.json,final_best_performance,ok,1,0,34369,
result/final-run/EMBER/memory-efficient setting/ahr_malcl_v15_1_final_paper_critic5_ember_k25_results.json,final_memory_efficient,ok,5,1,209283,
result/final-run/EMBER/memory-efficient setting/seed=42/full-result.json,final_memory_efficient,ok,1,0,34113,
result/final-run/EMBER/memory-efficient setting/seed=43/full-result.json,final_memory_efficient,ok,1,0,34132,
result/final-run/EMBER/memory-efficient setting/seed=44/full-result.json,final_memory_efficient,ok,1,0,34204,
result/final-run/EMBER/memory-efficient setting/seed=45/full-result.json,final_memory_efficient,ok,1,0,34018,
result/final-run/EMBER/memory-efficient setting/seed=46/full-result.json,final_memory_efficient,ok,1,0,33971,
