run_id,dataset,seed,variant,K,status,attempt,start_time,end_time,host,gpu,output_dir,config_sha256,class_order_sha256,checkpoint,result_sha256,validation_status,failure_reason
anchor_only__az_class__seed_49,az_class,49,anchor_only,200,NOT_STARTED,0,,,,,runs/anchor_only/az_class/seed_49,,,,,NOT_VALIDATED,
anchor_only__az_class__seed_50,az_class,50,anchor_only,200,NOT_STARTED,0,,,,,runs/anchor_only/az_class/seed_50,,,,,NOT_VALIDATED,
anchor_only__az_class__seed_51,az_class,51,anchor_only,200,NOT_STARTED,0,,,,,runs/anchor_only/az_class/seed_51,,,,,NOT_VALIDATED,
current_only__az_class__seed_47,az_class,47,current_only,NA,NOT_STARTED,0,,,,,runs/current_only/az_class/seed_47,,,,,NOT_VALIDATED,
generated_only__az_class__seed_47,az_class,47,generated_only,100,NOT_STARTED,0,,,,,runs/generated_only/az_class/seed_47,,,,,NOT_VALIDATED,
current_only__az_class__seed_48,az_class,48,current_only,NA,NOT_STARTED,0,,,,,runs/current_only/az_class/seed_48,,,,,NOT_VALIDATED,
generated_only__az_class__seed_48,az_class,48,generated_only,100,NOT_STARTED,0,,,,,runs/generated_only/az_class/seed_48,,,,,NOT_VALIDATED,
current_only__az_class__seed_49,az_class,49,current_only,NA,NOT_STARTED,0,,,,,runs/current_only/az_class/seed_49,,,,,NOT_VALIDATED,
generated_only__az_class__seed_49,az_class,49,generated_only,100,NOT_STARTED,0,,,,,runs/generated_only/az_class/seed_49,,,,,NOT_VALIDATED,
current_only__az_class__seed_50,az_class,50,current_only,NA,NOT_STARTED,0,,,,,runs/current_only/az_class/seed_50,,,,,NOT_VALIDATED,
generated_only__az_class__seed_50,az_class,50,generated_only,100,NOT_STARTED,0,,,,,runs/generated_only/az_class/seed_50,,,,,NOT_VALIDATED,
current_only__az_class__seed_51,az_class,51,current_only,NA,NOT_STARTED,0,,,,,runs/current_only/az_class/seed_51,,,,,NOT_VALIDATED,
generated_only__az_class__seed_51,az_class,51,generated_only,100,NOT_STARTED,0,,,,,runs/generated_only/az_class/seed_51,,,,,NOT_VALIDATED,
