method,dataset,seed,file,sha256,source_artifact,source_sha256,matrix_shape
DER++ (standard),EMBER,49,derpp__ember__seed_49.json,fd0d4b7cc099c69a465f99e6a121c0eafa2abecac125a23c9df688856a136f34,evidence://derpp/EMBER/seed-49,064d0f74528bf2a6f98f3d28686f075f0da49e186d933852d9e9b3a2ba219a66,11x11
protocol-matched adapted MalCL baseline,EMBER,49,adapted_malcl__ember__seed_49.json,61c74f46409ee9c1975caacfe1cf787306a9173521498b19e208c0cceddf25d6,evidence://adapted_malcl/EMBER/seed-49,bdf89d2d925995a1260e7a177e3784365f74445ceca002ecb1763017d0f6f98a,11x11
AHR-MalCL-HR (hybrid_random_buffer),EMBER,50,anchored_hr__ember__seed_50.json,e09448af9d704a49bd6ec7795b6dfcb10a07a375b585b8e3efb601047cfa5ed1,evidence://anchored_hr/EMBER/seed-50,e93ac1d65fdebbd055d469186c2de75aad8b7179d96501f8ae817aca30487e38,11x11
ER (standard),EMBER,50,er__ember__seed_50.json,6f2f2b9fbd4842a811b2d2140ebee6152ef4084274fb49d9af8aefc23f0918be,evidence://er/EMBER/seed-50,56b40fb8a448b870eecf660049b836ee30915a94a2f2ebad043da106a61f9cb7,11x11
DER++ (standard),EMBER,50,derpp__ember__seed_50.json,a10ee10a6a57083c90aba64cb2acba3c56c6eb093837df238115e62113243f29,evidence://derpp/EMBER/seed-50,cfdefefb63746dc317903efef0685dc28f101a25524e595e7edf3422eef81192,11x11
protocol-matched adapted MalCL baseline,EMBER,50,adapted_malcl__ember__seed_50.json,311fafed42090a33882987818bd726dc555e395fe5e3930e29a22f05b3e93308,evidence://adapted_malcl/EMBER/seed-50,9e473b15da369a68cbb5bba2d77308993727a9088c8ea50e49f905e82dad8fc2,11x11
AHR-MalCL-HR (hybrid_random_buffer),EMBER,51,anchored_hr__ember__seed_51.json,2f2a6f46004e31b0d2581ff7b47138c4e0e2ac9f68eabc9007bd590ef155d653,evidence://anchored_hr/EMBER/seed-51,9fcc4591fb22758d0622d3a8659c818e8dcad175b2a719b0c6427bab56825077,11x11
ER (standard),EMBER,51,er__ember__seed_51.json,c95f91b7954aae2309c17553a14aae1ffb43a2691005ccc53b0f25acebc6e0e3,evidence://er/EMBER/seed-51,18c2b695d3fc5166f3cbdbadc9513de26fdceba1496ee1139598594aadf876e6,11x11
DER++ (standard),EMBER,51,derpp__ember__seed_51.json,a448448381e2bf2c3a90d49937921348d06e919250562342d5669e0dda5bc745,evidence://derpp/EMBER/seed-51,1f682542fda53137d6b9a3ba9b3fbc2ff855d18760dd0b0266d65f47b203838b,11x11
protocol-matched adapted MalCL baseline,EMBER,51,adapted_malcl__ember__seed_51.json,afbe9b26124658ac82b540fa2cb1df493afd79bdc1b38e7d7bc99e18cc983a0e,evidence://adapted_malcl/EMBER/seed-51,30b9109796f6b87046c7eaf6e7f5cbcf053d2807c6ccdf6ba56e5029e428136f,11x11
AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,42,anchored_hr__az_class__seed_42.json,1d223c8eaa137e96537b29914c2ff4bbe7b086ccc2368f5da03fab160eb9541d,evidence://anchored_hr/AZ-Class/seed-42,fbec63f32d9a3e7159bc33d6847bdcefaeea9fa88ac3faf337440d4075fa78e4,11x11
ER (standard),AZ-Class,42,er__az_class__seed_42.json,1d9f9fbda754c071945bfe4a2dee09bc360ad463a3db09cb08ce66c3d6ca45df,evidence://er/AZ-Class/seed-42,4303c371ddc1094a6bdf8583589cb2710f12370adf99e5295f919b8297d77c43,11x11
DER++ (standard),AZ-Class,42,derpp__az_class__seed_42.json,1715671bee74f1ab455782635153ff08a5e43029935a8712db747d558b4e926e,evidence://derpp/AZ-Class/seed-42,83010979856a386342abccea5443186098eff82fc967dbcb56dda61fb5fdb8e8,11x11
protocol-matched adapted MalCL baseline,AZ-Class,42,adapted_malcl__az_class__seed_42.json,975cfb2051df335c7d186edbc0fb148ee9e01d436582a5051829cc9fdcf69b03,evidence://adapted_malcl/AZ-Class/seed-42,63964c86de544cf4413c1e659bc3d42be34bd4fbfc85116ee12b5e35d4f19ee9,11x11
AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,43,anchored_hr__az_class__seed_43.json,744a47f9a4e13cbba8ade5828c731ebaa600fbea1dbd23ec019f9eafb2db4a23,evidence://anchored_hr/AZ-Class/seed-43,94d9c595b253dc079d43a804df29b968388e32998027bb21fd8d315ed5053d93,11x11
ER (standard),AZ-Class,43,er__az_class__seed_43.json,5aa5d7113ed4921fcc9609251e8d5dc7b2076cb1bbc48ca300e7cf8782ed4938,evidence://er/AZ-Class/seed-43,9a451983fcf1a506b06986d93630e339886f9cb8ec2569b345f5a839a6541e59,11x11
DER++ (standard),AZ-Class,43,derpp__az_class__seed_43.json,95aad7596752cc0b07b4ec058c3abccca24efb409b10fbb70b3348aca5a7cd8a,evidence://derpp/AZ-Class/seed-43,7707a5957b028548ff6182278402e0a3429eea738abe539661b2626236b85e00,11x11
protocol-matched adapted MalCL baseline,AZ-Class,43,adapted_malcl__az_class__seed_43.json,81cee401f077fb692e408eae702a00fdc9b73322c3317defcfb0c164ce3c8f73,evidence://adapted_malcl/AZ-Class/seed-43,01725214cedd4eeaa15c205701820da83ad31b9306fff7673ead3b472d01e609,11x11
AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,44,anchored_hr__az_class__seed_44.json,2f15e59a523aa4c9624de5856527b40cb244e3a1d4c1ad0407fce1f280e86854,evidence://anchored_hr/AZ-Class/seed-44,87b5c162b66a9f15978ae23161cbf0a71aa3ec48972e6c618da63fb0cf956fdf,11x11
ER (standard),AZ-Class,44,er__az_class__seed_44.json,047add175709c0cb3ed6a30f38697f30e16226826db9773c94a168f6bc131d54,evidence://er/AZ-Class/seed-44,592d94ecefcf96622f1280ae0c78bd5c19e1b3b1b4b8ece01461c3e7d0fdc206,11x11
DER++ (standard),AZ-Class,44,derpp__az_class__seed_44.json,1755b812e02db094e92009b57aa1a5967268f8da8a0766d4ff08c530ac70a868,evidence://derpp/AZ-Class/seed-44,e6f316daaea35dea0a21e3eb30c08f34942749473603afe1983bc645263c3e23,11x11
protocol-matched adapted MalCL baseline,AZ-Class,44,adapted_malcl__az_class__seed_44.json,d9282dc2631110a260f5980fcd59fa303f615a279f36b7d4d7a0f4467a9e018d,evidence://adapted_malcl/AZ-Class/seed-44,e4b5f9278b7df2ba7ce47be553dc575df61ce6f7280af315ce9eb26a4fb47ad0,11x11
AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,45,anchored_hr__az_class__seed_45.json,0574fe8de6df0927057d097d6b8f3a70edf1eac8df1440a163951980b689ea4f,evidence://anchored_hr/AZ-Class/seed-45,59c9d3f635de0ea7ac70fad9065db8abc3719875c50d0838b62f6be0bb0cf031,11x11
ER (standard),AZ-Class,45,er__az_class__seed_45.json,feb028b7cd0bce4b5dedf675236bc50030684ef156ed73ae63baea0a22b280b0,evidence://er/AZ-Class/seed-45,313021954a73696b20627a1ceab0a03f19718c3040bd5c0382ab2d5d2b4d15bc,11x11
DER++ (standard),AZ-Class,45,derpp__az_class__seed_45.json,7a76887653448b9d2d07751d24fd436293bef0a2a59d6ea1d779c614e5aaeabc,evidence://derpp/AZ-Class/seed-45,7db573dceef53f2a5ebe8bf2e757f8596b668dc926b8895ec1bcf32b538326de,11x11
protocol-matched adapted MalCL baseline,AZ-Class,45,adapted_malcl__az_class__seed_45.json,0e322c93da9bf903776de888d9c0faff6bfca43f13ee818a52795c248dfab668,evidence://adapted_malcl/AZ-Class/seed-45,90691ce8e073571679dd95678650604b4cb58d3467123a42eaf95e21c6790f1a,11x11
AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,46,anchored_hr__az_class__seed_46.json,0a01296149d831afeb414298835397ec5654a353a1bcbb00fdfbedfa91417a1d,evidence://anchored_hr/AZ-Class/seed-46,777575f00383bf01f97fbdb77b0ea36c9e6af9f71f13560be6b51e9feb989617,11x11
ER (standard),AZ-Class,46,er__az_class__seed_46.json,0616301670bbe8437739ed16ea1df3584087ff54283baf8ff9f0a44b5e675e8f,evidence://er/AZ-Class/seed-46,f307d08ad01d3067a01605947df1ad36e0e1243240853e29f78233c1956cc1b7,11x11
DER++ (standard),AZ-Class,46,derpp__az_class__seed_46.json,5da12c920db218d7ee42291be53d9bb15caa9d33ada113836ae6a5c32d34bbe1,evidence://derpp/AZ-Class/seed-46,32ffb3d36a8889e8ffa1053829b3bb1a7f14fcdf116726731eb3c79bd4476a05,11x11
protocol-matched adapted MalCL baseline,AZ-Class,46,adapted_malcl__az_class__seed_46.json,4ed5f88d13b056335de164a2079bd07d6b297894bcf52de55724f0b239034fb4,evidence://adapted_malcl/AZ-Class/seed-46,a3678f63d99b4832b0e0447ac09f2146a6ace15550dc1c2a94e0dbef944d9d62,11x11
AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,47,anchored_hr__az_class__seed_47.json,42da22dda223725c23af3bd9d3ababc860147cb5acfc16ba1f074ec86ffaa3bc,evidence://anchored_hr/AZ-Class/seed-47,93814b6d3a388f5efd3d5e9a8316cdda370fba61cf4b81cee4e4b05f122a3e4e,11x11
ER (standard),AZ-Class,47,er__az_class__seed_47.json,9a1fd655fec23628acdb30d5825813313595c214613f1b4e806897c661ccbf84,evidence://er/AZ-Class/seed-47,72c735d24f8bee114479f4d2580fa63d2c9d84a6888fde346e7b4cd15d60e0b8,11x11
DER++ (standard),AZ-Class,47,derpp__az_class__seed_47.json,8e21d83297188e40048bcfc4822f28830c143291ef2908a4fd4ddf2c36d93cfe,evidence://derpp/AZ-Class/seed-47,82f42682840b082d14f46fff530106f88497846ccfe612c6539b5b4e2d0eda9e,11x11
protocol-matched adapted MalCL baseline,AZ-Class,47,adapted_malcl__az_class__seed_47.json,732653b0cfb0fbb00462349bdef74711bba5e9a5b83c479920c73de0ba91baaa,evidence://adapted_malcl/AZ-Class/seed-47,f067172cefddc6ed14e18e3bfdb4116776b0fcaeeeb6047417cb4169c22f08ac,11x11
AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,48,anchored_hr__az_class__seed_48.json,b37bc06d9d470022ee56327b057f39d160e9e8d48c093751ae5295fe1e6a92bf,evidence://anchored_hr/AZ-Class/seed-48,dd70f8cba28374e5a000c9ce4dec876dd1a0a19b134457de0abbd773b7f388fe,11x11
ER (standard),AZ-Class,48,er__az_class__seed_48.json,fda23ffd6caa82b9eecd0d00e9a98fc82bef960304d66a63d88428f23304fae1,evidence://er/AZ-Class/seed-48,435d0c2776e9f94ab2b70165e70919aa76494d658bbc2e9aae76550a7dc3882d,11x11
DER++ (standard),AZ-Class,48,derpp__az_class__seed_48.json,0dee398c91dff673a9da881471dc837d287761b4966d961b96e718dc6388db0a,evidence://derpp/AZ-Class/seed-48,be93de02e30a09f8deb3e26ab72ef354be4c1f45f04618a6049f83608f402a66,11x11
protocol-matched adapted MalCL baseline,AZ-Class,48,adapted_malcl__az_class__seed_48.json,ec8ec09d6195b0d730e89244b08bf646d6861c9b746ce7c1e52c1d20c6e07e4d,evidence://adapted_malcl/AZ-Class/seed-48,404701c1cdf2e03eb870c16eac85494b51570af797a67e9025d706b1325e84b7,11x11
AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,49,anchored_hr__az_class__seed_49.json,72639367e33fe60f29e00c42c5759220393e71cf49e98815b83dd8a2610dd3c6,evidence://anchored_hr/AZ-Class/seed-49,a7a6f0655c38cfa6ef522a6154bec70a2e8f7d1a7ca6404d3d9a6541c18f468a,11x11
ER (standard),AZ-Class,49,er__az_class__seed_49.json,ba1d71e841b2e1c3513ce765b663429e3f3205d7008933e627306dec91f9ed58,evidence://er/AZ-Class/seed-49,c40f86f7b530d84940b498f39b9b083347a4610b0e98d80fec2b6e78d18b9835,11x11
DER++ (standard),AZ-Class,49,derpp__az_class__seed_49.json,773586d813924b581454f3df3e1215593bed44aee65b355a7f846b6e87cfa1b4,evidence://derpp/AZ-Class/seed-49,42e851f98e62b83d159ad05fd5d672235c8225c82e5c1de5933e548874f1a2e7,11x11
protocol-matched adapted MalCL baseline,AZ-Class,49,adapted_malcl__az_class__seed_49.json,e85d463ff6cc69329b40f4e92bbd5d20497f4eaca35a327cb757d9ee8374b303,evidence://adapted_malcl/AZ-Class/seed-49,61be2bd37defeea0edc6772f49b775b6f3b356b04bd4573af06ecc7a528c15ca,11x11
AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,50,anchored_hr__az_class__seed_50.json,21590dba4bbe6335aff96da6a97b2e2f0659afc2c7780ed399587a08dbbebd96,evidence://anchored_hr/AZ-Class/seed-50,d34b859d3d48e1f99335c51f28fd0240ff3baeeeea51cbbe13c362843dbe5981,11x11
ER (standard),AZ-Class,50,er__az_class__seed_50.json,807add53752e88176b04b26087f833080f406c302c5af170f943d76b20e55e5a,evidence://er/AZ-Class/seed-50,655826f69948212fea8217ee4a71d7a01d061ebdf362bce86647b22dc076409a,11x11
DER++ (standard),AZ-Class,50,derpp__az_class__seed_50.json,88413d9fa633de8d77eb7cb9fc505a5da69b7748d0ced6d7d4e4a06fe3ce9989,evidence://derpp/AZ-Class/seed-50,aef59182c89d032ad1a7ab9d3dd45945c3024738f8c626995baa356f68a78022,11x11
protocol-matched adapted MalCL baseline,AZ-Class,50,adapted_malcl__az_class__seed_50.json,27ccfb54a6f6e5597bc9d35c7d4b950af8846fcca88dbb40b52fe8786ba07b8f,evidence://adapted_malcl/AZ-Class/seed-50,33e18700344596324b0bbf3eac686e40464f18c88997ff8c38cd8d4099607be4,11x11
AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,51,anchored_hr__az_class__seed_51.json,7332d5cb99f0aa56ef8be9373b46c5b3fd905d6ec75ede3a784ea7367c511e60,evidence://anchored_hr/AZ-Class/seed-51,f3262618a4d412b7bbcc28bbdf240d6d5331247d848ed6e734fb1a9160424ab2,11x11
ER (standard),AZ-Class,51,er__az_class__seed_51.json,c86eca570d07be0996022bb7536c68d5669c26d551b7312cd13d13e860c6c5ce,evidence://er/AZ-Class/seed-51,91c6a2b8c7deef53fd5cf93d09555b4cb816df82476f6dedba0d1b390903ae53,11x11
DER++ (standard),AZ-Class,51,derpp__az_class__seed_51.json,e4e22cb013ccbc0acfd4f3a5afa8f7a1cd38f9ac501c1e7953b642e677af4ac3,evidence://derpp/AZ-Class/seed-51,ff80fd986f1a89de4f74b8c985bef94e9c76bcdac4cfbc9a88b2e08f759b297f,11x11
protocol-matched adapted MalCL baseline,AZ-Class,51,adapted_malcl__az_class__seed_51.json,62f81695f2bedc185ac98964e8e407d7eeb535dc02a48043e9bfe436093a23ec,evidence://adapted_malcl/AZ-Class/seed-51,6e7f47e259318b4125947d5478cf8b5ec2ac158cdc09a0fc86866d647d4b66df,11x11
