canonical_run_id,dataset,seed,variant,source_provenance,result_path,result_sha256,task_matrix_sha256,class_order_sha256,hash_source,historical_manifest_source_matrix_sha256,source_matrix_identity_verified,matrix_hash_representation
U00290,az_class,42,current_only,HISTORICAL_REUSED,result/final-run/AZ-Class/ablation/classifier_real_only/ahr_malcl_v15_1_final_ablation_critic5_az_k100_classifier_real_only_results.json,2b1860fea24aca43d2397084d862f2b73cf0f42cd0d4919dc770c147b68dcc2b,129631cc10c1e2963b663a230eb767ec45337bcf98593bbc5a90b2160167b23e,04b000b56a91f35b971f5297eaab4279245789dfee40b74a026b0381d5f11fe7,computed read-only during final-80 analysis,9774a50f741ec9d5614c5ff0d58e700903269d565ad061c22a65305ae82dfd28,yes,source raw -1 future cells; canonical index hash uses harmonized null future cells
U00133,az_class,43,current_only,HISTORICAL_REUSED,result/final-run/AZ-Class/ablation/classifier_real_only/ahr_malcl_v15_1_final_ablation_critic5_az_k100_classifier_real_only_results.json,2b1860fea24aca43d2397084d862f2b73cf0f42cd0d4919dc770c147b68dcc2b,e51ee7cbdce905c35a22cd56355f5fb832e6b823ec58ea1805e059f7ff03869e,6ca5410628e21ac8e3044389e297b72219e8fed297430e6ac2e56bae667c66dd,computed read-only during final-80 analysis,c3bc07b475c68c1344d702289ec34445e702e58e29e46eeda370c88cab0142f4,yes,source raw -1 future cells; canonical index hash uses harmonized null future cells
U00252,az_class,44,current_only,HISTORICAL_REUSED,result/final-run/AZ-Class/ablation/classifier_real_only/ahr_malcl_v15_1_final_ablation_critic5_az_k100_classifier_real_only_results.json,2b1860fea24aca43d2397084d862f2b73cf0f42cd0d4919dc770c147b68dcc2b,c682988dff64c22b1636843b9147df936940e8286f445bcc432a9f3b70d7e700,52d1aff63ae9d3f1105baddd7d735ca2ee75bd11aa8297f6348366c50743cf52,computed read-only during final-80 analysis,fded7a9d2ba1d7e42e77668fa9c3a040dbd9ef59b8c37a3981f3d036c0881158,yes,source raw -1 future cells; canonical index hash uses harmonized null future cells
U00110,az_class,45,current_only,HISTORICAL_REUSED,result/final-run/AZ-Class/ablation/classifier_real_only/ahr_malcl_v15_1_final_ablation_critic5_az_k100_classifier_real_only_results.json,2b1860fea24aca43d2397084d862f2b73cf0f42cd0d4919dc770c147b68dcc2b,f3f81e8c9b92b9d1523b0587c7bb070b931b9bbe3e0f4ad580059d23bd807da5,de2da4d58ac700169dc38e3e96cd059be67d60420cf2f8e906c090d892a5a5a5,computed read-only during final-80 analysis,dc8b3a5401e793a57a2bf862c7f3c46fe5f3478614ac85497989f61d03e86a5e,yes,source raw -1 future cells; canonical index hash uses harmonized null future cells
U00202,az_class,46,current_only,HISTORICAL_REUSED,result/final-run/AZ-Class/ablation/classifier_real_only/ahr_malcl_v15_1_final_ablation_critic5_az_k100_classifier_real_only_results.json,2b1860fea24aca43d2397084d862f2b73cf0f42cd0d4919dc770c147b68dcc2b,5012946e0d749fb9abf8b67372219a2494cc0862e2d633246f94b20832fb7446,87932ff5a61dfdae297ca2244e2b5410ce62f883ac6eadf12ac4482b85046853,computed read-only during final-80 analysis,f7a68fab2613f7ca083ad777ec22b0519dd811aecd61c38787c8f55f65a105a1,yes,source raw -1 future cells; canonical index hash uses harmonized null future cells
current_only__az_class__seed_47,az_class,47,current_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/current_only/az_class/seed_47/full-result.json,4f32817a44f01b050ecf00bd79670fe7cf223c3c624c15e5ccf41b6fda2e0aff,5e145b1485e43ea3f9453463050f7021be79ff5f96799773334a507a2179954a,ebd0bcf46c4ac943715514fc03250c24f98f7a7629a4c947acd616c8b0931201,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
current_only__az_class__seed_48,az_class,48,current_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/current_only/az_class/seed_48/full-result.json,e0ad61460ad046a8d28f51226ccaacf9468f2d6e6226facbc5c34b2c24665dfe,869dd12c337e8ad3617be9bc93b531d4e30e1314366e911ccc27cc31b81fa634,7763ffa2bfaf1043a54fc26decec235ea039a7236500f995b2786ae4f80a7aa5,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
current_only__az_class__seed_49,az_class,49,current_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/current_only/az_class/seed_49/full-result.json,614be4ff3c3dfdf70b3f30e0dd2ffd7f9013b42556066520f940db1648b37e40,0ff0fbd8bda6e8a77d7a615f8d9b2d2165895c1b579c2b9881755fb6c4dc0d7b,450f7ff7a8054e186345d607cf7b32fa6a17c1c5fd2f6bec1e423815db44472b,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
current_only__az_class__seed_50,az_class,50,current_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/current_only/az_class/seed_50/full-result.json,10ceae9d04c4e6e6ab31a484d8fa6e4fd709b09860ced6a54fd38000ec482e6f,bd605e4b2f2c3bb95674ac8ec94a91abff6c46b1a9cad45aff4f1e457342de39,f88acfbf1b48391853c7ae42e4242f40996c22b130dca35853d171999f13be7a,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
current_only__az_class__seed_51,az_class,51,current_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/current_only/az_class/seed_51/full-result.json,e9c37e48bb5ae51602a280ba35fa74a6f59c06630307479112e5d4d7369aebef,ee10f2a91aec9c03efa7f004c70ef19352d8663233384797b53588761c76c811,de9520c2f308952cd35c2ee27b994acccf14e001313b8f4100840a430e02867f,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
U00243,az_class,42,full_hybrid,HISTORICAL_REUSED,paper_ready/AHR_MalCL_HR_reproducibility_release_v15_5/historical_outputs/anchored_hr/az_class/seed_42/full-result.json,fbec63f32d9a3e7159bc33d6847bdcefaeea9fa88ac3faf337440d4075fa78e4,a4b0ceab441abd0f0be8ead9709e1fc8de743a8a987794ca21e1e4a9667ca859,04b000b56a91f35b971f5297eaab4279245789dfee40b74a026b0381d5f11fe7,computed read-only during final-80 analysis,1c6f5beb2824d5857b94082685d68a8732dd2721977e7fefaeec39523f0c7d6b,yes,source raw -1 future cells; canonical index hash uses harmonized null future cells
U00363,az_class,43,full_hybrid,HISTORICAL_REUSED,paper_ready/AHR_MalCL_HR_reproducibility_release_v15_5/historical_outputs/anchored_hr/az_class/seed_43/full-result.json,94d9c595b253dc079d43a804df29b968388e32998027bb21fd8d315ed5053d93,3951841f9afc38ee7fa5185ebd57cede77fc313b44a6e5041b99776a35c5ea36,6ca5410628e21ac8e3044389e297b72219e8fed297430e6ac2e56bae667c66dd,computed read-only during final-80 analysis,34919e30e4a838e4bb14b4115deec4cb475247f342a56af6d0e19d9f2c8dff00,yes,source raw -1 future cells; canonical index hash uses harmonized null future cells
U00017,az_class,44,full_hybrid,HISTORICAL_REUSED,paper_ready/AHR_MalCL_HR_reproducibility_release_v15_5/historical_outputs/anchored_hr/az_class/seed_44/full-result.json,87b5c162b66a9f15978ae23161cbf0a71aa3ec48972e6c618da63fb0cf956fdf,c1a84ab9351a305a5ebbf37321778de5c2c19ce741855d6f5438acfdd88d48d6,52d1aff63ae9d3f1105baddd7d735ca2ee75bd11aa8297f6348366c50743cf52,computed read-only during final-80 analysis,38eea6713a2d48e4d71609f4500b9b475b23ef636de8e36a75135097428418e6,yes,source raw -1 future cells; canonical index hash uses harmonized null future cells
U00334,az_class,45,full_hybrid,HISTORICAL_REUSED,paper_ready/AHR_MalCL_HR_reproducibility_release_v15_5/historical_outputs/anchored_hr/az_class/seed_45/full-result.json,59c9d3f635de0ea7ac70fad9065db8abc3719875c50d0838b62f6be0bb0cf031,cd147e8dc7f9c0891851f7cfe3fcb524f0d28ebe633655c549da3a8bbd0fcb0d,de2da4d58ac700169dc38e3e96cd059be67d60420cf2f8e906c090d892a5a5a5,computed read-only during final-80 analysis,2b362209ddb59f6d527dc17c2a1b77dec209779242a7d01c893b4ebf38fc8075,yes,source raw -1 future cells; canonical index hash uses harmonized null future cells
U00093,az_class,46,full_hybrid,HISTORICAL_REUSED,paper_ready/AHR_MalCL_HR_reproducibility_release_v15_5/historical_outputs/anchored_hr/az_class/seed_46/full-result.json,777575f00383bf01f97fbdb77b0ea36c9e6af9f71f13560be6b51e9feb989617,19f258ce5228047dba2b5d3121cb913bf5c594460a011fdaf1dab73edfd32c53,87932ff5a61dfdae297ca2244e2b5410ce62f883ac6eadf12ac4482b85046853,computed read-only during final-80 analysis,1b060433f66140bd346d4a222d06781885101b7f398b6a748715f5360b76c61c,yes,source raw -1 future cells; canonical index hash uses harmonized null future cells
U00380,az_class,47,full_hybrid,HISTORICAL_REUSED,paper_ready/AHR_MalCL_HR_reproducibility_release_v15_5/historical_outputs/anchored_hr/az_class/seed_47/full-result.json,93814b6d3a388f5efd3d5e9a8316cdda370fba61cf4b81cee4e4b05f122a3e4e,99187e822c5718441a2234f1dc9e72880d63956d9102afc583a035817b5e7034,ebd0bcf46c4ac943715514fc03250c24f98f7a7629a4c947acd616c8b0931201,computed read-only during final-80 analysis,838902c3812841a4177c15d5063f9ab4221694a8894039156c80a89d585ab788,yes,source raw -1 future cells; canonical index hash uses harmonized null future cells
U00036,az_class,48,full_hybrid,HISTORICAL_REUSED,paper_ready/AHR_MalCL_HR_reproducibility_release_v15_5/historical_outputs/anchored_hr/az_class/seed_48/full-result.json,dd70f8cba28374e5a000c9ce4dec876dd1a0a19b134457de0abbd773b7f388fe,68089ff49d739bfbd54b497447fa75b413fef74fc25b9fa1f2fc76789d794503,7763ffa2bfaf1043a54fc26decec235ea039a7236500f995b2786ae4f80a7aa5,computed read-only during final-80 analysis,376536093a1c5b5e331b8eec4d1ca7441d1a5e0124b1bf1d229b3d4243f0927a,yes,source raw -1 future cells; canonical index hash uses harmonized null future cells
U00354,az_class,49,full_hybrid,HISTORICAL_REUSED,paper_ready/AHR_MalCL_HR_reproducibility_release_v15_5/historical_outputs/anchored_hr/az_class/seed_49/full-result.json,a7a6f0655c38cfa6ef522a6154bec70a2e8f7d1a7ca6404d3d9a6541c18f468a,0214719c94e37dfbc220a0f6e328a34660850f14cb79d7cba38533f6f31e29b1,450f7ff7a8054e186345d607cf7b32fa6a17c1c5fd2f6bec1e423815db44472b,computed read-only during final-80 analysis,931d0bc69840e453c19db712b005d9676ad71d959159cf3133c522ed6039399f,yes,source raw -1 future cells; canonical index hash uses harmonized null future cells
U00359,az_class,50,full_hybrid,HISTORICAL_REUSED,paper_ready/AHR_MalCL_HR_reproducibility_release_v15_5/historical_outputs/anchored_hr/az_class/seed_50/full-result.json,d34b859d3d48e1f99335c51f28fd0240ff3baeeeea51cbbe13c362843dbe5981,e33cb77121a01d33a26ca167be8bb3ac14de26427809ec32248ad2dc5aa376d6,f88acfbf1b48391853c7ae42e4242f40996c22b130dca35853d171999f13be7a,computed read-only during final-80 analysis,b3e05dc95a245e537f76b3e77aa7b5b9349989c140b9ddaefe3ecf96e7eafbc2,yes,source raw -1 future cells; canonical index hash uses harmonized null future cells
U00070,az_class,51,full_hybrid,HISTORICAL_REUSED,paper_ready/AHR_MalCL_HR_reproducibility_release_v15_5/historical_outputs/anchored_hr/az_class/seed_51/full-result.json,f3262618a4d412b7bbcc28bbdf240d6d5331247d848ed6e734fb1a9160424ab2,22ceb207e03092b5506ad1ff9fafa44f0639884297c1a941329be8d731d1e196,de9520c2f308952cd35c2ee27b994acccf14e001313b8f4100840a430e02867f,computed read-only during final-80 analysis,0106138a6e30edfb2b75bd30cd7ba6d0c2f8bff1f90193841f1b626086f86a82,yes,source raw -1 future cells; canonical index hash uses harmonized null future cells
U00131,az_class,42,generated_only,HISTORICAL_REUSED,result/final-run/AZ-Class/ablation/wgan_projection_generated_only/ahr_malcl_v15_1_final_ablation_critic5_az_k100_wgan_projection_generated_only_results.json,0356dc6979b27a5a2415943576a755c4f88da714333570c8fea2028f63294e51,f4055481b6199c0daf26f482b3f512a3b393d47889925d4ab6396923941ea6cd,04b000b56a91f35b971f5297eaab4279245789dfee40b74a026b0381d5f11fe7,computed read-only during final-80 analysis,1ad7e83fd68548cbb5e5fa96710e92c97f5218f68e355e2208af4c4d83ed261c,yes,source raw -1 future cells; canonical index hash uses harmonized null future cells
U00193,az_class,43,generated_only,HISTORICAL_REUSED,result/final-run/AZ-Class/ablation/wgan_projection_generated_only/ahr_malcl_v15_1_final_ablation_critic5_az_k100_wgan_projection_generated_only_results.json,0356dc6979b27a5a2415943576a755c4f88da714333570c8fea2028f63294e51,58ceb7aec40581c8c72487328f3488ea5be113fd8a17d8860c22675f3e2be209,6ca5410628e21ac8e3044389e297b72219e8fed297430e6ac2e56bae667c66dd,computed read-only during final-80 analysis,bace9390b3a5a547252b73dca2623071cdf13752aa913376f72cd359ee9f7d9a,yes,source raw -1 future cells; canonical index hash uses harmonized null future cells
U00039,az_class,44,generated_only,HISTORICAL_REUSED,result/final-run/AZ-Class/ablation/wgan_projection_generated_only/ahr_malcl_v15_1_final_ablation_critic5_az_k100_wgan_projection_generated_only_results.json,0356dc6979b27a5a2415943576a755c4f88da714333570c8fea2028f63294e51,788d4c129d8cb65c0d82e4b2dc9116b0aa3e0147d465263e9e29353bd057e89a,52d1aff63ae9d3f1105baddd7d735ca2ee75bd11aa8297f6348366c50743cf52,computed read-only during final-80 analysis,3211c8e90ca9fffbd10c83c8aaffc032b16486b0e776ca7fdf3adb19301cded8,yes,source raw -1 future cells; canonical index hash uses harmonized null future cells
U00378,az_class,45,generated_only,HISTORICAL_REUSED,result/final-run/AZ-Class/ablation/wgan_projection_generated_only/ahr_malcl_v15_1_final_ablation_critic5_az_k100_wgan_projection_generated_only_results.json,0356dc6979b27a5a2415943576a755c4f88da714333570c8fea2028f63294e51,77abf5d236b040268cf63def32e5dd4edf969ea872c64e8a711de7b4ce8d269b,de2da4d58ac700169dc38e3e96cd059be67d60420cf2f8e906c090d892a5a5a5,computed read-only during final-80 analysis,9dd4ce749f54f7d6c14f316109ea7fc31eed7dcaecdfe25c4350cf512d965050,yes,source raw -1 future cells; canonical index hash uses harmonized null future cells
U00179,az_class,46,generated_only,HISTORICAL_REUSED,result/final-run/AZ-Class/ablation/wgan_projection_generated_only/ahr_malcl_v15_1_final_ablation_critic5_az_k100_wgan_projection_generated_only_results.json,0356dc6979b27a5a2415943576a755c4f88da714333570c8fea2028f63294e51,a443e226d05792ac6bf6029eff2afca519ccd77f7b9370a43882d68462be47cb,87932ff5a61dfdae297ca2244e2b5410ce62f883ac6eadf12ac4482b85046853,computed read-only during final-80 analysis,37cd9b088cf16fd4ad5deab4c77b455f62ee28ed9814a4c1e6f4da65e0f4a5d0,yes,source raw -1 future cells; canonical index hash uses harmonized null future cells
generated_only__az_class__seed_47,az_class,47,generated_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/generated_only/az_class/seed_47/full-result.json,4d16314583cf31d35ac455eb44f16ea6488e764394d18ea8805c4f59a7b6f21b,f50b6c6e3a7212457ef8919b193627feca7c768a84dabd86da4b4a0f4462f97a,ebd0bcf46c4ac943715514fc03250c24f98f7a7629a4c947acd616c8b0931201,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
generated_only__az_class__seed_48,az_class,48,generated_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/generated_only/az_class/seed_48/full-result.json,cba72dfce1dd719b4094122a3356c85ae7c0242cb62439827408026e61603a61,8a125ec061b4caff30776e6abbcd97338531ea79ee18f48ad53760d3594c4738,7763ffa2bfaf1043a54fc26decec235ea039a7236500f995b2786ae4f80a7aa5,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
generated_only__az_class__seed_49,az_class,49,generated_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/generated_only/az_class/seed_49/full-result.json,6e86c730460b838fd754d1abfee74579bb869447029c5dabfe83223d6e0fbe3d,e19695358c3f2897cd7aea77de6c6688dc5b4a5a872e4e31c8b3cf1e38731de6,450f7ff7a8054e186345d607cf7b32fa6a17c1c5fd2f6bec1e423815db44472b,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
generated_only__az_class__seed_50,az_class,50,generated_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/generated_only/az_class/seed_50/full-result.json,75f582dea26a672e4d27cf4b5e7e9630c77d3e1adb447102505e549adf3a3471,3bd1f61a5ff41702aa00265a93610be4721e170bb1b07ff0f74fa1ba4f9f6e21,f88acfbf1b48391853c7ae42e4242f40996c22b130dca35853d171999f13be7a,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
generated_only__az_class__seed_51,az_class,51,generated_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/generated_only/az_class/seed_51/full-result.json,3f886f226f3af208a392f4a2d741f5302e83e49928ee8176865b429abb18c1c5,5384b8c9e321ec50fef441780b9ef5d852cb4e9baf1ee8eca8b7fa950c303eeb,de9520c2f308952cd35c2ee27b994acccf14e001313b8f4100840a430e02867f,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
anchor_only__ember__seed_42,ember,42,anchor_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/anchor_only/ember/seed_42/full-result.json,dc7b99a159f8465ace2d66576545ae41cb24e05c627198d677145ea64484f0e2,839bcee23a098a2c8d3f290803963e1243b202ed5b57931f230e5ab5a5999a26,04b000b56a91f35b971f5297eaab4279245789dfee40b74a026b0381d5f11fe7,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
anchor_only__ember__seed_43,ember,43,anchor_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/anchor_only/ember/seed_43/full-result.json,79e85f830d81a6a3c61cb4c604e3d94efda87b7b5f05ca46082344e91d8fe33b,0fc9f3ecbe36b3efea1e732663496c3e625717a4b71195a5ebbcd5df439a0b23,6ca5410628e21ac8e3044389e297b72219e8fed297430e6ac2e56bae667c66dd,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
anchor_only__ember__seed_44,ember,44,anchor_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/anchor_only/ember/seed_44/full-result.json,7433673842924e3aaf0c5c7c74431c26bef468fc2fbe113ffc48d7c527658b82,7978c5d61508f663ee8a07dbd123a3d9f5ac18063efa90ac21889c4898c3e446,52d1aff63ae9d3f1105baddd7d735ca2ee75bd11aa8297f6348366c50743cf52,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
anchor_only__ember__seed_45,ember,45,anchor_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/anchor_only/ember/seed_45/full-result.json,7ad8670335bffa48fdfc7a93fab16a799e4ef65c70ce40c9b0676e8bbea938a9,8362e0a2645ca490c8c6b36cb08add83514eab52e1a2cc2377a07b9e50bf7e89,de2da4d58ac700169dc38e3e96cd059be67d60420cf2f8e906c090d892a5a5a5,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
anchor_only__ember__seed_46,ember,46,anchor_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/anchor_only/ember/seed_46/full-result.json,48670a1d37a92391bcc7f80c89647ea83eb7393e60da73e6627c421aec144ebe,1aeb11ac0d1b5e41f64d8c3e7a788201cb5338cfb0c9e03fbe7283496554271f,87932ff5a61dfdae297ca2244e2b5410ce62f883ac6eadf12ac4482b85046853,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
anchor_only__ember__seed_47,ember,47,anchor_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/anchor_only/ember/seed_47/full-result.json,feaee2c6b85298b1362c957827b98f58c31aba495e698e086efebaa7f7cc5aba,d3e4aed31617d1f3008ff78d41313dd20ff8c3386b912e9210dbd3c9d61708f1,ebd0bcf46c4ac943715514fc03250c24f98f7a7629a4c947acd616c8b0931201,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
anchor_only__ember__seed_48,ember,48,anchor_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/anchor_only/ember/seed_48/full-result.json,21f54d5fa5a3b8383e03ada72c6238163126a95f923a23d42affdb4ecd7e8e6b,07b1985eb2047a97021ca3e0b239e45629a0246be1770c045527c37823d7e605,7763ffa2bfaf1043a54fc26decec235ea039a7236500f995b2786ae4f80a7aa5,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
