dataset,seed,historical_raw_matrix_sha256,historical_normalized_matrix_sha256,final80_source_matrix_sha256,harmonized_matrix_sha256,valid_lower_triangle_cells,numerical_cell_by_cell_equality,max_abs_valid_cell_delta
az_class,42,1c6f5beb2824d5857b94082685d68a8732dd2721977e7fefaeec39523f0c7d6b,1d223c8eaa137e96537b29914c2ff4bbe7b086ccc2368f5da03fab160eb9541d,1c6f5beb2824d5857b94082685d68a8732dd2721977e7fefaeec39523f0c7d6b,22e89919b2d8527fc0d8660d17c51133f4899e523467375a08dc584b85488b7b,66,true,0.0
az_class,43,34919e30e4a838e4bb14b4115deec4cb475247f342a56af6d0e19d9f2c8dff00,744a47f9a4e13cbba8ade5828c731ebaa600fbea1dbd23ec019f9eafb2db4a23,34919e30e4a838e4bb14b4115deec4cb475247f342a56af6d0e19d9f2c8dff00,6043eacafad83f2e578d4fe579473bae358ee903a1ad9c11f0094c7e37a60558,66,true,0.0
az_class,44,38eea6713a2d48e4d71609f4500b9b475b23ef636de8e36a75135097428418e6,2f15e59a523aa4c9624de5856527b40cb244e3a1d4c1ad0407fce1f280e86854,38eea6713a2d48e4d71609f4500b9b475b23ef636de8e36a75135097428418e6,4810fc8740ef1479a2097ce8f60e813f86de8686d179ea73ce8578cf6f247212,66,true,0.0
az_class,45,2b362209ddb59f6d527dc17c2a1b77dec209779242a7d01c893b4ebf38fc8075,0574fe8de6df0927057d097d6b8f3a70edf1eac8df1440a163951980b689ea4f,2b362209ddb59f6d527dc17c2a1b77dec209779242a7d01c893b4ebf38fc8075,a74453f94fd902f10dde7fb1828d4082f58e5f4b0d12bc516a3a6f64a870f399,66,true,0.0
az_class,46,1b060433f66140bd346d4a222d06781885101b7f398b6a748715f5360b76c61c,0a01296149d831afeb414298835397ec5654a353a1bcbb00fdfbedfa91417a1d,1b060433f66140bd346d4a222d06781885101b7f398b6a748715f5360b76c61c,f28368bcb4d7ce99c7c0ed1821bc959fdd8181b85c8e6d6b4301abd0218dffa6,66,true,0.0
az_class,47,838902c3812841a4177c15d5063f9ab4221694a8894039156c80a89d585ab788,42da22dda223725c23af3bd9d3ababc860147cb5acfc16ba1f074ec86ffaa3bc,838902c3812841a4177c15d5063f9ab4221694a8894039156c80a89d585ab788,242ac35f6d41db368ff10f32901e91f5442d53589156b76e21ab515030f01a25,66,true,0.0
az_class,48,376536093a1c5b5e331b8eec4d1ca7441d1a5e0124b1bf1d229b3d4243f0927a,b37bc06d9d470022ee56327b057f39d160e9e8d48c093751ae5295fe1e6a92bf,376536093a1c5b5e331b8eec4d1ca7441d1a5e0124b1bf1d229b3d4243f0927a,df3ddfe386cb3031536d3b5c00192543738895894a6f4c612285946c022afe30,66,true,0.0
az_class,49,931d0bc69840e453c19db712b005d9676ad71d959159cf3133c522ed6039399f,72639367e33fe60f29e00c42c5759220393e71cf49e98815b83dd8a2610dd3c6,931d0bc69840e453c19db712b005d9676ad71d959159cf3133c522ed6039399f,8633ddfb669e5b93dc4f011341af2d9dc09958dd8472bae993cc796a468549ff,66,true,0.0
az_class,50,b3e05dc95a245e537f76b3e77aa7b5b9349989c140b9ddaefe3ecf96e7eafbc2,21590dba4bbe6335aff96da6a97b2e2f0659afc2c7780ed399587a08dbbebd96,b3e05dc95a245e537f76b3e77aa7b5b9349989c140b9ddaefe3ecf96e7eafbc2,63549ec22741ff500716384b539050de91c15438fffeacf8b2004e5bad9cbde7,66,true,0.0
az_class,51,0106138a6e30edfb2b75bd30cd7ba6d0c2f8bff1f90193841f1b626086f86a82,7332d5cb99f0aa56ef8be9373b46c5b3fd905d6ec75ede3a784ea7367c511e60,0106138a6e30edfb2b75bd30cd7ba6d0c2f8bff1f90193841f1b626086f86a82,37f7c266c4ce5c3aaad2591e10ccc65648a141acbe68e131215a4237fd3ba77c,66,true,0.0
